address,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,property_url,zip,$/sqft,compare_$sqft_sold_inZip,household_median_income_on_threshold,median_age,median_house_value,poverty_rate,unemployment_rate,Target
"23 Townsend Ter, Framingham, MA 01701",390000,2,3,1008.0 ,424500,2799,4,https://www.zillow.com/homedetails/23-Townsend-Ter-Framingham-MA-01701/165983857_zpid/,01701,387,0.1826,58.87,45.8,-0.1001,0.023,0.035,0
"16 Waltham St, Maynard, MA 01754",650000,4,5,4150.0 ,,6139,68,https://www.zillow.com/homedetails/16-Waltham-St-Maynard-MA-01754/92360702_zpid/,01754,157,-0.8076,50.36,41.7,0.8561,0.031,0.012,0
"17 Kingfisher Rd, Tewksbury, MA 01876",599999,2,3,1720.0 ,643800,2925,24,https://www.zillow.com/homedetails/17-Kingfisher-Rd-Tewksbury-MA-01876/56349069_zpid/,01876,349,1.0000,47.05,44.6,0.5412,0.029,0.036,1
"139 Beacon St, Framingham, MA 01701",550000,3,5,2137.0 ,590400,4640,62,https://www.zillow.com/homedetails/139-Beacon-St-Framingham-MA-01701/165989446_zpid/,01701,257,-0.2289,58.87,45.8,0.2690,0.023,0.035,0
"134 Central St, North Reading, MA 01864",534900,2,4,1669.0 ,,2999,33,https://www.zillow.com/homedetails/134-Central-St-North-Reading-MA-01864/57092285_zpid/,01864,320,-0.1701,83.79,43.8,-0.0034,0.020,0.043,0
"21 Weymouth Ave, Boston, MA 02132",699999,2,5,1438.0 ,724600,1975,7,https://www.zillow.com/homedetails/21-Weymouth-Ave-Boston-MA-02132/59159915_zpid/,02132,487,0.0629,47.62,45.3,0.3263,0.025,0.044,1
"162 North St, Walpole, MA 02081",489900,2,3,1442.0 ,521200,2999,7,https://www.zillow.com/homedetails/162-North-St-Walpole-MA-02081/57509718_zpid/,02081,340,1.0000,67.91,40.8,0.0080,0.026,0.040,0
"126 Water St, Framingham, MA 01701",529000,2,3,1539.0 ,572300,2999,18,https://www.zillow.com/homedetails/126-Water-St-Framingham-MA-01701/165984167_zpid/,01701,344,0.0799,58.87,45.8,0.2206,0.023,0.035,1
"189 Summer St, Marshfield, MA 02050",525000,2,4,1862.0 ,,3058,4,https://www.zillow.com/homedetails/189-Summer-St-Marshfield-MA-02050/56646217_zpid/,02050,282,1.0000,46.07,45.5,0.1369,0.046,0.047,0
"19 Virginia Rd, Tyngsboro, MA 01879",590000,2,3,2308.0 ,636000,2287,24,https://www.zillow.com/homedetails/19-Virginia-Rd-Tyngsboro-MA-01879/57119531_zpid/,01879,256,1.0000,62.13,42.7,0.5191,0.034,0.043,0
